timestamp,domain,run,query_type,dns_server,status,query_time_ms
2026-09-07T04:53:46Z,alipay.com,1,A,127.0.0.53,NOERROR,,424
2026-09-07T04:53:47Z,aliyun.com,1,A,127.0.0.53,NOERROR,,92
2026-09-07T04:53:47Z,aliyuncs.com,1,A,127.0.0.53,NOERROR,,88
2026-09-07T04:53:47Z,aliyuncsslbintl.com,1,A,127.0.0.53,NOERROR,,104
2026-09-07T04:53:47Z,allawnos.com,1,A,127.0.0.53,NOERROR,,64
2026-09-07T04:53:47Z,alphonso.tv,1,A,127.0.0.53,NOERROR,,128
2026-09-07T04:53:47Z,amap.com,1,A,127.0.0.53,NOERROR,,808
2026-09-07T04:53:48Z,amazon-adsystem.com,1,A,127.0.0.53,NOERROR,,56
2026-09-07T04:53:48Z,amazon.co.jp,1,A,127.0.0.53,NOERROR,,56
2026-09-07T04:53:49Z,amazon.co.uk,1,A,127.0.0.53,NOERROR,,76
2026-09-07T04:53:49Z,amazon.com,1,A,127.0.0.53,NOERROR,,4
2026-09-07T04:53:49Z,amazon.de,1,A,127.0.0.53,NOERROR,,0
2026-09-07T04:53:49Z,amazon.dev,1,A,127.0.0.53,NOERROR,,56
2026-09-07T04:53:49Z,amazonalexa.com,1,A,127.0.0.53,NOERROR,,60
2026-09-07T04:53:49Z,amazonaws.com,1,A,127.0.0.53,NOERROR,,72
2026-09-07T04:53:49Z,amazontrust.com,1,A,127.0.0.53,NOERROR,,72
2026-09-07T04:53:49Z,amazonvideo.com,1,A,127.0.0.53,NOERROR,,68
2026-09-07T04:53:49Z,amd.com,1,A,127.0.0.53,NOERROR,,88
2026-09-07T04:53:49Z,amemv.com,1,A,127.0.0.53,NOERROR,,368
2026-09-07T04:53:50Z,amp-endpoint1.com,1,A,127.0.0.53,NOERROR,,256
2026-09-07T04:53:50Z,amp-endpoint2.com,1,A,127.0.0.53,NOERROR,,56
2026-09-07T04:53:50Z,amp-endpoint3.com,1,A,127.0.0.53,NOERROR,,56
2026-09-07T04:53:50Z,amplitude.com,1,A,127.0.0.53,NOERROR,,64
2026-09-07T04:53:50Z,ampproject.org,1,A,127.0.0.53,NOERROR,,60
2026-09-07T04:53:51Z,android.com,1,A,127.0.0.53,NOERROR,,76
2026-09-07T04:53:51Z,aniview.com,1,A,127.0.0.53,NOERROR,,88
2026-09-07T04:53:51Z,anthropic.com,1,A,127.0.0.53,NOERROR,,56
